Order,Functional Loc.,Description,Description,Planner group,Main WorkCtr,ABC indic.,Reference Date,Ref. Element PM/PS,Address number,Reference time,Changed on,Changed by,Available to,Avail. to time,Asset,Subnumber,Available from,Available from,SystemCondition,Work center,PriorityType,Res./Purc. req.,Subnetwork of,Order category,Plant WkCntr,Assembly,Assembly desc.,Plant section,Acctg Indicator,PO date,PO number,Company Code,City,District,Country,Device data,Sort field,Description,Equipment,Created on,Entered by,Billing form,Actual release,Total rev. act.,Tot. plan. rev.,TotSum (actual),TotSum (plan),Actual Finish,Actual finish,Total settlemt,Total act.costs,TotalPlnndCosts,Sched. finish,Basic fin. time,Finish time,Business Area,Actual start,Sched. start,ActualStart,Start time,SchedStartTime,Hist.fr.,MaintActivType,Planning plant,Costing Sheet,Sales Document,Item,CO Area,Cost Center,Resp. cost cntr,Customer,Leading order,Deletion flag,Long txt exists,Description,Superior order,Base Unit,Quantity,Room,List name,Object number,Object list,Paging status,PGrp Task List,OrderPlanInd.,Group Counter,Group,Postal Code,Profit Center,Priority,Priority,WBS element,WBS ord. header,Coding,Code group,Catalog type,Notification,Region,Serial Number,Material,Service product,Service product,Division,Division - Sales,Location,Street,MaintPlant,Telephone,Estimated costs,Sales Office,Sales Group,Sales Org.,Sales Org. - Sales,Superior act.,Distr. Channel,Distr. Channel - Sal,Currency,MaintItem,MaintenancePlan,Plant,Comp,Overhead key,Earlst Allow Fin Dat,Earl Allow Start Dat,Latest Allow Fin Dat,Original Due Date,Bas. start date,User status,System status,Order Type,Revision,Basic fin. date
81003812,GROW-U-CHCI-INJSDV-42FT501,FT Corrosion Inhibotor to Grove West,I400 24M Transmitter,INS,INST,U,04/08/2013,,,12:59:49,04/08/2013,DGROEN,,00:00:00,,,,00:00:00,,,UM,3,,30,NM01,,,,,,,5702,,,,,,,,07/22/2012,IP1020120722,,07/22/2012,0.00,0.00,0.00,238.35,03/27/2013,15:30:04,0.00,0.00,238.35,10/04/2012,10:30:00,10:30:00,,10/04/2012,10/04/2012,07:00:00,07:00:00,07:00:00,,PPM,NM01,PP-PC1,,000000,CENT,CE5702G070,CE5702C008,,,,,,,,0.000,,,OR000081003812,"407,814.00",,INS,1,1,I400GR,,P9056,3,Medium,,,,,,3000166134,,,,,,,,,,N105,,0.00,,,,,,,,EUR,600022528,50019940,NM01,,,,09/06/2012,11/01/2012,10/04/2012,10/04/2012,WCOM,TECO CNF  NMAT PRC  SETC,UM01,,10/04/2012
81003813,GROW-U-CHCI-INJSDV-42PT503,PT Corrosion Inhibitor Injection,I400 24M Transmitter,INS,INST,U,04/08/2013,,,13:00:01,04/08/2013,DGROEN,,00:00:00,,,,00:00:00,,,UM,3,,30,NM01,,,,,,,5702,,,,,,,,07/22/2012,IP1020120722,,07/22/2012,0.00,0.00,0.00,238.35,03/27/2013,15:30:43,0.00,0.00,238.35,10/04/2012,10:30:00,10:30:00,,10/04/2012,10/04/2012,07:00:00,07:00:00,07:00:00,,PPM,NM01,PP-PC1,,000000,CENT,CE5702G070,CE5702C008,,,,,,,,0.000,,,OR000081003813,"407,815.00",,INS,1,1,I400GR,,P9056,3,Medium,,,,,,3000166135,,,,,,,,,,N105,,0.00,,,,,,,,EUR,600022529,50019941,NM01,,,,09/06/2012,11/01/2012,10/04/2012,10/04/2012,WCOM,TECO CNF  NMAT PRC  SETC,UM01,,10/04/2012
81003814,GROW-U-CHME-IN1OFC-46FT502,FT Methanol To Platform Choke Valve,I400 12M Transmitter,INS,INST,U,04/08/2013,,,13:00:15,04/08/2013,DGROEN,,00:00:00,,,,00:00:00,,,UM,3,,30,NM01,,,,,,,5702,,,,,,,,07/22/2012,IP1020120722,,07/22/2012,0.00,0.00,0.00,238.35,03/27/2013,15:29:35,0.00,0.00,238.35,10/04/2012,10:30:00,10:30:00,,10/04/2012,10/04/2012,07:00:00,07:00:00,07:00:00,,PPM,NM01,PP-PC1,,000000,CENT,CE5702G070,CE5702C008,,,,,,,,0.000,,,OR000081003814,"407,816.00",,INS,1,1,I400GR,,P9056,3,Medium,,,,,,3000166136,,,,,,,,,,N105,,0.00,,,,,,,,EUR,600022530,50019942,NM01,,,,09/06/2012,11/01/2012,10/04/2012,10/04/2012,WCOM,TECO CNF  NMAT PRC  SETC,UM01,,10/04/2012
81003815,GROW-U-CHME-IN2OFC-46FT501,FT Methanol To Subsea Wellhead,I400 24M Transmitter,INS,INST,U,04/08/2013,,,13:00:28,04/08/2013,DGROEN,,00:00:00,,,,00:00:00,,,UM,3,,30,NM01,,,,,,,5702,,,,,,,,07/22/2012,IP1020120722,,07/22/2012,0.00,0.00,0.00,238.35,03/27/2013,15:30:59,0.00,0.00,238.35,10/04/2012,10:30:00,10:30:00,,10/04/2012,10/04/2012,07:00:00,07:00:00,07:00:00,,PPM,NM01,PP-PC1,,000000,CENT,CE5702G070,CE5702C008,,,,,,,,0.000,,,OR000081003815,"407,817.00",,INS,1,1,I400GR,,P9056,3,Medium,,,,,,3000166137,,,,,,,,,,N105,,0.00,,,,,,,,EUR,600022531,50019943,NM01,,,,09/06/2012,11/01/2012,10/04/2012,10/04/2012,WCOM,TECO CNF  NMAT PRC  SETC,UM01,,10/04/2012
81003816,GROW-U-CHME-IN2OFC-46PT501,PT Methanol to Subsea Wellhead,I400 24M Transmitter,INS,INST,U,04/08/2013,,,13:00:38,04/08/2013,DGROEN,,00:00:00,,,,00:00:00,,,UM,3,,30,NM01,,,,,,,5702,,,,,,,,07/22/2012,IP1020120722,,07/22/2012,0.00,0.00,0.00,238.35,03/27/2013,15:31:19,0.00,0.00,238.35,10/04/2012,10:30:00,10:30:00,,10/04/2012,10/04/2012,07:00:00,07:00:00,07:00:00,,PPM,NM01,PP-PC1,,000000,CENT,CE5702G070,CE5702C008,,,,,,,,0.000,,,OR000081003816,"407,818.00",,INS,1,1,I400GR,,P9056,3,Medium,,,,,,3000166138,,,,,,,,,,N105,,0.00,,,,,,,,EUR,600022532,50019944,NM01,,,,09/06/2012,11/01/2012,10/04/2012,10/04/2012,WCOM,TECO CNF  NMAT PRC  SETC,UM01,,10/04/2012
81003823,GROW-U-HPWH-PCKOUT-65PT012,PT Hydraulic Pressure Transmitter,I400 24M Transmitter,INS,INST,U,04/08/2013,,,13:00:50,04/08/2013,DGROEN,,00:00:00,,,,00:00:00,,,UM,3,,30,NM01,,,,,,,5702,,,,,,,,07/22/2012,IP1020120722,,07/22/2012,0.00,0.00,0.00,238.35,03/27/2013,15:31:33,0.00,0.00,238.35,10/04/2012,10:30:00,10:30:00,,10/04/2012,10/04/2012,07:00:00,07:00:00,07:00:00,,PPM,NM01,PP-PC1,,000000,CENT,CE5702G070,CE5702C008,,,,,,,,0.000,,,OR000081003823,"407,825.00",,INS,1,1,I400GR,,P9056,3,Medium,,,,,,3000166145,,,,,,,,,,N105,,0.00,,,,,,,,EUR,600022533,50019945,NM01,,,,09/06/2012,11/01/2012,10/04/2012,10/04/2012,WCOM,TECO CNF  NMAT PRC  SETC,UM01,,10/04/2012
81003824,GROW-U-HPWH-PCKOUT-65PT014,PT Hydraulic Pressure Transmitter,I400 24M Transmitter,INS,INST,U,04/08/2013,,,13:00:58,04/08/2013,DGROEN,,00:00:00,,,,00:00:00,,,UM,3,,30,NM01,,,,,,,5702,,,,,,,,07/22/2012,IP1020120722,,07/22/2012,0.00,0.00,0.00,238.35,03/27/2013,15:31:57,0.00,0.00,238.35,10/04/2012,10:30:00,10:30:00,,10/04/2012,10/04/2012,07:00:00,07:00:00,07:00:00,,PPM,NM01,PP-PC1,,000000,CENT,CE5702G070,CE5702C008,,,,,,,,0.000,,,OR000081003824,"407,826.00",,INS,1,1,I400GR,,P9056,3,Medium,,,,,,3000166146,,,,,,,,,,N105,,0.00,,,,,,,,EUR,600022534,50019946,NM01,,,,09/06/2012,11/01/2012,10/04/2012,10/04/2012,WCOM,TECO CNF  NMAT PRC  SETC,UM01,,10/04/2012
81003825,GROW-U-HPHY-WCPHO1-65PT501,PT Hydraulic Pressure to SCSSV,I400 24M Transmitter,INS,INST,U,04/08/2013,,,13:01:17,04/08/2013,DGROEN,,00:00:00,,,,00:00:00,,,UM,3,,30,NM01,,,,,,,5702,,,,,,,,07/22/2012,IP1020120722,,07/22/2012,0.00,0.00,0.00,238.35,03/27/2013,15:32:10,0.00,0.00,238.35,10/04/2012,10:30:00,10:30:00,,10/04/2012,10/04/2012,07:00:00,07:00:00,07:00:00,,PPM,NM01,PP-PC1,,000000,CENT,CE5702G070,CE5702C008,,,,,,,,0.000,,,OR000081003825,"407,827.00",,INS,1,1,I400GR,,P9056,3,Medium,,,,,,3000166147,,,,,,,,,,N105,,0.00,,,,,,,,EUR,600022535,50019947,NM01,,,,09/06/2012,11/01/2012,10/04/2012,10/04/2012,WCOM,TECO CNF  NMAT PRC  SETC,UM01,,10/04/2012
81003826,GROW-U-HPWH-WCPLC1-65PT510,PT Hydraulic Pressure to CIV,I400 24M Transmitter,INS,INST,U,04/08/2013,,,13:01:25,04/08/2013,DGROEN,,00:00:00,,,,00:00:00,,,UM,3,,30,NM01,,,,,,,5702,,,,,,,,07/22/2012,IP1020120722,,07/22/2012,0.00,0.00,0.00,238.35,03/27/2013,15:32:22,0.00,0.00,238.35,10/04/2012,10:30:00,10:30:00,,10/04/2012,10/04/2012,07:00:00,07:00:00,07:00:00,,PPM,NM01,PP-PC1,,000000,CENT,CE5702G070,CE5702C008,,,,,,,,0.000,,,OR000081003826,"407,828.00",,INS,1,1,I400GR,,P9056,3,Medium,,,,,,3000166148,,,,,,,,,,N105,,0.00,,,,,,,,EUR,600022536,50019948,NM01,,,,09/06/2012,11/01/2012,10/04/2012,10/04/2012,WCOM,TECO CNF  NMAT PRC  SETC,UM01,,10/04/2012
81003827,GROW-U-HPWH-WCPLM1-65PT511,PT Hydraulic Pressure to MIV,I400 24M Transmitter,INS,INST,U,04/08/2013,,,13:01:32,04/08/2013,DGROEN,,00:00:00,,,,00:00:00,,,UM,3,,30,NM01,,,,,,,5702,,,,,,,,07/22/2012,IP1020120722,,07/22/2012,0.00,0.00,0.00,238.35,03/27/2013,15:32:33,0.00,0.00,238.35,10/04/2012,10:30:00,10:30:00,,10/04/2012,10/04/2012,07:00:00,07:00:00,07:00:00,,PPM,NM01,PP-PC1,,000000,CENT,CE5702G070,CE5702C008,,,,,,,,0.000,,,OR000081003827,"407,829.00",,INS,1,1,I400GR,,P9056,3,Medium,,,,,,3000166149,,,,,,,,,,N105,,0.00,,,,,,,,EUR,600022537,50019949,NM01,,,,09/06/2012,11/01/2012,10/04/2012,10/04/2012,WCOM,TECO CNF  NMAT PRC  SETC,UM01,,10/04/2012
