Order,Functional Loc.,Description,Description,Planner group,Main WorkCtr,ABC indic.,Reference Date,Ref. Element PM/PS,Address number,Reference time,Changed on,Changed by,Available to,Avail. to time,Asset,Subnumber,Available from,Available from,SystemCondition,Work center,PriorityType,Res./Purc. req.,Subnetwork of,Order category,Plant WkCntr,Assembly,Assembly desc.,Plant section,Acctg Indicator,PO date,PO number,Company Code,City,District,Country,Device data,Sort field,Description,Equipment,Created on,Entered by,Billing form,Actual release,Total rev. act.,Tot. plan. rev.,TotSum (actual),TotSum (plan),Actual Finish,Actual finish,Total settlemt,Total act.costs,TotalPlnndCosts,Sched. finish,Basic fin. time,Finish time,Business Area,Actual start,Sched. start,ActualStart,Start time,SchedStartTime,Hist.fr.,MaintActivType,Planning plant,Costing Sheet,Sales Document,Item,CO Area,Cost Center,Resp. cost cntr,Customer,Leading order,Deletion flag,Long txt exists,Description,Superior order,Base Unit,Quantity,Room,List name,Object number,Object list,Paging status,PGrp Task List,OrderPlanInd.,Group Counter,Group,Postal Code,Profit Center,Priority,Priority,WBS element,WBS ord. header,Coding,Code group,Catalog type,Notification,Region,Serial Number,Material,Service product,Service product,Division,Division - Sales,Location,Street,MaintPlant,Telephone,Estimated costs,Sales Office,Sales Group,Sales Org.,Sales Org. - Sales,Superior act.,Distr. Channel,Distr. Channel - Sal,Currency,MaintItem,MaintenancePlan,Plant,Comp,Overhead key,Earlst Allow Fin Dat,Earl Allow Start Dat,Latest Allow Fin Dat,Original Due Date,Bas. start date,User status,System status,Order Type,Revision,Basic fin. date
81000152,MST1-U-ECHT,Heat Tracing System,Heattracing group 3Y - E210 - Heat Traci,ELE,ELEC,U,05/12/2012,,,06:45:50,08/10/2012,BATCHMAN,,00:00:00,,,,00:00:00,,,UM,3,,30,NM01,,,,,,,5702,,,,,11000095,,,03/05/2012,FF_CECRIT_10,,03/06/2012,0.00,0.00,79.45,79.45,05/09/2012,17:48:56,0.00,79.45,79.45,03/06/2012,12:34:00,12:34:00,,03/06/2012,03/06/2012,11:04:00,11:04:00,11:04:00,,PPM,NM01,PP-PC1,,000000,CENT,CE5702G005,CE5702C008,,,,,,,,0.000,,,OR000081000152,"395,511.00",,,1,,,,P9056,4,Low,,,,,,3000160244,,,,,,,,,,N001,,0.00,,,,,,,,EUR,,,NM01,,,,10/18/2011,07/24/2012,03/06/2012,03/06/2012,WCOM,CLSD CNF  NMAT PRC  SETC,UM01,,03/06/2012
81000153,MST1-H-SAEE-BOAFLB-S8002,Free Fall Life Boat,Free Fall Lifeboat - V004 - Vendor Inspe,PDN,GENCON,U,02/17/2013,,,15:59:11,05/18/2013,BATCHMAN,,00:00:00,,,,00:00:00,,,UM,3,,30,NM01,,,,,,,5702,,,,,11000243,,,03/05/2012,FF_CECRIT_10,,03/06/2012,0.00,0.00,"1,656.00","1,906.80",02/16/2013,15:57:33,0.00,"1,656.00","1,906.80",03/08/2012,14:34:00,14:34:00,,03/06/2012,03/06/2012,11:04:00,11:04:00,11:04:00,,SFC,NM01,PP-PC1,,000000,CENT,CE5702G005,CE5702C008,,,,,,,,0.000,,,OR000081000153,"395,512.00",,,1,,,,P9056,3,Medium,,,,,,3000160245,,,,,,,,MEZZ,,N001,,0.00,,,,,,,,EUR,,,NM01,,,,02/07/2012,04/03/2012,03/06/2012,03/06/2012,WCOM,CLSD CNF  NMAT PRC  SETC,UM01,,03/08/2012
81000154,MST1-U-HPWH-WCP,Wellhead Control Panel (TAG SA-Z-8301),WELLHEAD CONTROL PANEL - S001 - Oil Samp,PDN,OPS,U,02/18/2013,,,15:40:37,05/19/2013,BATCHMAN,,00:00:00,,,,00:00:00,,,UM,3,,30,NM01,,,,,,,5702,,,,,11000068,,,03/05/2012,FF_CECRIT_10,,03/06/2012,0.00,0.00,69.00,79.45,02/16/2013,15:57:52,0.00,69.00,79.45,03/06/2012,12:34:00,12:34:00,,03/06/2012,03/06/2012,11:04:00,11:04:00,11:04:00,,SFC,NM01,PP-PC1,,000000,CENT,CE5702G005,CE5702C008,,,,,,,,0.000,,,OR000081000154,"395,513.00",,,1,,,,P9056,3,Medium,,,,,,3000160246,,,,,,,,MEZZ,,N001,,0.00,,,,,,,,EUR,,,NM01,,,,02/07/2012,04/03/2012,03/06/2012,03/06/2012,WCOM,CLSD CNF  NMAT PRC  SETC,UM01,,03/06/2012
81000123,MST1-P-PGDR-CDVTLC-LSH53006,LSH Level Switch High Slob Oil Vessel,LSH Slop Oil Vessel - I300 - Level Switc,INS,INST,U,05/12/2012,,,06:45:43,08/10/2012,BATCHMAN,,00:00:00,,,,00:00:00,,,UM,3,,30,NM01,,,,,,,5702,,,,,11000110,,,03/05/2012,FF_CECRIT_10,,03/06/2012,0.00,0.00,79.45,79.45,05/09/2012,17:18:01,0.00,79.45,79.45,03/06/2012,11:55:00,11:55:00,,03/06/2012,03/06/2012,10:55:00,10:55:00,10:55:00,,PPM,NM01,PP-PC1,,000000,CENT,CE5702G005,CE5702C008,,,,,,,,0.000,,,OR000081000123,"395,479.00",,,1,,,,P9056,4,Low,,,,,,3000160215,,,,,,,,,,N001,,0.00,,,,,,,,EUR,,,NM01,,,,10/18/2011,07/24/2012,03/06/2012,03/06/2012,WCOM,CLSD CNF  NMAT PRC  SETC,UM01,,03/06/2012
81000124,MST1-P-PGPW-CWSWLI-LSLL53003,LS Level Switch LL,LSLL Degassing Vessel - I300 - Level Swi,INS,INST,U,05/12/2012,,,06:45:44,08/10/2012,BATCHMAN,,00:00:00,,,,00:00:00,,,UM,3,,30,NM01,,,,,,,5702,,,,,11000119,,,03/05/2012,FF_CECRIT_10,,03/06/2012,0.00,0.00,79.45,79.45,05/09/2012,17:17:30,0.00,79.45,79.45,03/06/2012,11:55:00,11:55:00,,03/06/2012,03/06/2012,10:55:00,10:55:00,10:55:00,,PPM,NM01,PP-PC1,,000000,CENT,CE5702G005,CE5702C008,,,,,,,,0.000,,,OR000081000124,"395,480.00",,,1,,,,P9056,4,Low,,,,,,3000160216,,,,,,,,,,N001,,0.00,,,,,,,,EUR,,,NM01,,,,10/18/2011,07/24/2012,03/06/2012,03/06/2012,WCOM,CLSD CNF  NMAT PRC  SETC,UM01,,03/06/2012
81000125,MST1-P-VEHP-KODLIC-LSHH34002,LSHH High Level Switch HP Vent K.O. Drum,LSHH Vent K.O. Drum - I300 - Level Switc,INS,INST,U,05/12/2012,,,06:45:44,08/10/2012,BATCHMAN,,00:00:00,,,,00:00:00,,,UM,3,,30,NM01,,,,,,,5702,,,,,11000112,,,03/05/2012,FF_CECRIT_10,,03/06/2012,0.00,0.00,79.45,79.45,05/09/2012,17:18:58,0.00,79.45,79.45,03/06/2012,11:56:00,11:56:00,,03/06/2012,03/06/2012,10:56:00,10:56:00,10:56:00,,PPM,NM01,PP-PC1,,000000,CENT,CE5702G005,CE5702C008,,,,,,,,0.000,,,OR000081000125,"395,481.00",,,1,,,,P9056,4,Low,,,,,,3000160217,,,,,,,,,,N001,,0.00,,,,,,,,EUR,,,NM01,,,,10/18/2011,07/24/2012,03/06/2012,03/06/2012,WCOM,CLSD CNF  NMAT PRC  SETC,UM01,,03/06/2012
81000126,MST1-U-EGBU-DIETNK-LSHH63011,LS High Level HH Alarm Diesel Day Tank 2,LSHH Diesel Day Tank B - I300 - Level Sw,INS,INST,U,06/15/2012,,,10:44:44,09/13/2012,BATCHMAN,,00:00:00,,,,00:00:00,,,UM,3,,30,NM01,,,,,,,5702,,,,,11000115,,,03/05/2012,FF_CECRIT_10,,03/06/2012,0.00,0.00,79.45,79.45,06/01/2012,08:44:14,0.00,79.45,79.45,03/06/2012,11:56:00,11:56:00,,03/06/2012,03/06/2012,10:56:00,10:56:00,10:56:00,,PPM,NM01,PP-PC1,,000000,CENT,CE5702G005,CE5702C008,,,,,,,,0.000,,,OR000081000126,"395,482.00",,,1,,,,P9056,3,Medium,,,,,,3000160218,,,,,,,,,,N001,,0.00,,,,,,,,EUR,,,NM01,,,,02/07/2012,04/03/2012,03/06/2012,03/06/2012,WCOM,CLSD CNF  NMAT PRC  SETC,UM01,,03/06/2012
81000127,MST1-U-FUFG-SCRHLI-LSHH60002,LT LP Fuel Gas Scrubber,LSHH Fuel Gas Scrubber - I300 - Level Sw,INS,INST,U,02/18/2013,,,15:40:34,05/19/2013,BATCHMAN,,00:00:00,,,,00:00:00,,,UM,3,,30,NM01,,,,,,,5702,,,,,11000116,,,03/05/2012,FF_CECRIT_10,,03/06/2012,0.00,0.00,69.00,79.45,02/16/2013,15:56:32,0.00,69.00,79.45,03/06/2012,11:56:00,11:56:00,,03/06/2012,03/06/2012,10:56:00,10:56:00,10:56:00,,PPM,NM01,PP-PC1,,000000,CENT,CE5702G005,CE5702C008,,,,,,,,0.000,,,OR000081000127,"395,486.00",,,1,,,,P9056,4,Low,,,,,,3000160219,,,,,,,,,,N001,,0.00,,,,,,,,EUR,,,NM01,,,,10/18/2011,07/24/2012,03/06/2012,03/06/2012,WCOM,CLSD CNF  NMAT PRC  SETC,UM01,,03/06/2012
81000128,MST1-P-PGPW-CWSWLI-LSHH53002,LS Level Switch HH,LSHH Degassing Vessel - I300 - Level Swi,INS,INST,U,05/12/2012,,,06:45:43,08/10/2012,BATCHMAN,,00:00:00,,,,00:00:00,,,UM,3,,30,NM01,,,,,,,5702,,,,,11000118,,,03/05/2012,FF_CECRIT_10,,03/06/2012,0.00,0.00,79.45,79.45,05/09/2012,17:19:38,0.00,79.45,79.45,03/06/2012,11:59:00,11:59:00,,03/06/2012,03/06/2012,10:59:00,10:59:00,10:59:00,,PPM,NM01,PP-PC1,,000000,CENT,CE5702G005,CE5702C008,,,,,,,,0.000,,,OR000081000128,"395,487.00",,,1,,,,P9056,4,Low,,,,,,3000160220,,,,,,,,,,N001,,0.00,,,,,,,,EUR,,,NM01,,,,10/18/2011,07/24/2012,03/06/2012,03/06/2012,WCOM,CLSD CNF  NMAT PRC  SETC,UM01,,03/06/2012
81000129,MST1-U-FUGO-STOTLA-LSH63002,LSH High Level Alarm Diesel Storage Tank,LSH Diesel Storage Tank - I300 - Level S,INS,INST,U,05/09/2012,,,12:29:17,08/07/2012,BATCHMAN,,00:00:00,,,,00:00:00,,,UM,3,,30,NM01,,,,,,,5702,,,,,11000117,,,03/05/2012,FF_CECRIT_10,,03/06/2012,0.00,0.00,79.45,79.45,05/07/2012,18:36:30,0.00,79.45,79.45,03/06/2012,11:59:00,11:59:00,,03/06/2012,03/06/2012,10:59:00,10:59:00,10:59:00,,PPM,NM01,PP-PC1,,000000,CENT,CE5702G005,CE5702C008,,,,,,,,0.000,,,OR000081000129,"395,488.00",,,1,,,,P9056,4,Low,,,,,,3000160221,,,,,,,,,,N001,,0.00,,,,,,,,EUR,,,NM01,,,,10/18/2011,07/24/2012,03/06/2012,03/06/2012,WCOM,CLSD CNF  NMAT PRC  SETC,UM01,,03/06/2012
