Order,Functional Loc.,Description,Description,Planner group,Main WorkCtr,ABC indic.,Reference Date,Ref. Element PM/PS,Address number,Reference time,Changed on,Changed by,Available to,Avail. to time,Asset,Subnumber,Available from,Available from,SystemCondition,Work center,PriorityType,Res./Purc. req.,Subnetwork of,Order category,Plant WkCntr,Assembly,Assembly desc.,Plant section,Acctg Indicator,PO date,PO number,Company Code,City,District,Country,Device data,Sort field,Description,Equipment,Created on,Entered by,Billing form,Actual release,Total rev. act.,Tot. plan. rev.,TotSum (actual),TotSum (plan),Actual Finish,Actual finish,Total settlemt,Total act.costs,TotalPlnndCosts,Sched. finish,Basic fin. time,Finish time,Business Area,Actual start,Sched. start,ActualStart,Start time,SchedStartTime,Hist.fr.,MaintActivType,Planning plant,Costing Sheet,Sales Document,Item,CO Area,Cost Center,Resp. cost cntr,Customer,Leading order,Deletion flag,Long txt exists,Description,Superior order,Base Unit,Quantity,Room,List name,Object number,Object list,Paging status,PGrp Task List,OrderPlanInd.,Group Counter,Group,Postal Code,Profit Center,Priority,Priority,WBS element,WBS ord. header,Coding,Code group,Catalog type,Notification,Region,Serial Number,Material,Service product,Service product,Division,Division - Sales,Location,Street,MaintPlant,Telephone,Estimated costs,Sales Office,Sales Group,Sales Org.,Sales Org. - Sales,Superior act.,Distr. Channel,Distr. Channel - Sal,Currency,MaintItem,MaintenancePlan,Plant,Comp,Overhead key,Earlst Allow Fin Dat,Earl Allow Start Dat,Latest Allow Fin Dat,Original Due Date,Bas. start date,User status,System status,Order Type,Revision,Basic fin. date
81000296,GROV-U-CHCI-INJPU1-42PT001,PT Corr.Inh.Injection Pump 42-PF-001A,PT CI Injection  I400  Transmitter,INS,INST,U,04/03/2013,,,10:11:08,10/20/2015,JGRIEP,,00:00:00,,,,00:00:00,,,UM,3,,30,NM01,,,,,,,5702,,,,,9000045,,,03/05/2012,FF_CECRIT_10,,03/06/2012,0.00,0.00,0.00,158.90,03/27/2013,14:58:10,0.00,0.00,158.90,03/12/2012,17:30:00,17:30:00,,03/12/2012,03/12/2012,15:30:00,15:30:00,15:30:00,,PPM,NM01,PP-PC1,,000000,CENT,CE5702G070,CE5702C008,,,,,,,,0.000,,,OR000081000296,"395,693.00",,,1,,,,P9056,4,Low,,,,,,3000160391,,,,,,,,,,N104,,0.00,,,,,,,,EUR,,,NM01,10/20/2015,,,10/24/2011,07/30/2012,03/12/2012,03/12/2012,WCOM,TECO CNF  NMAT PRC  SETC,UM01,,03/12/2012
81000297,GROV-P-PGMI-METFLC-18PDT504,PDT Process Gas,PDT Well 501 Flowline Venturi  I400  Tra,INS,INST,U,04/03/2013,,,10:11:06,10/20/2015,JGRIEP,,00:00:00,,,,00:00:00,,,UM,3,,30,NM01,,,,,,,5702,,,,,9000034,,,03/05/2012,FF_CECRIT_10,,03/06/2012,0.00,0.00,0.00,158.90,03/27/2013,14:57:39,0.00,0.00,158.90,03/12/2012,17:30:00,17:30:00,,03/12/2012,03/12/2012,15:30:00,15:30:00,15:30:00,,PPM,NM01,PP-PC1,,000000,CENT,CE5702G070,CE5702C008,,,,,,,,0.000,,,OR000081000297,"395,694.00",,,1,,,,P9056,4,Low,,,,,,3000160392,,,,,,,,,,N104,,0.00,,,,,,,,EUR,,,NM01,10/20/2015,,,10/24/2011,07/30/2012,03/12/2012,03/12/2012,WCOM,TECO CNF  PRT  NMAT PRC  SETC,UM01,,03/12/2012
81000298,GROV-U-CHCI-IN1FLL-42FT101,FT Corrosion Inh. to Flow Line Well 101,FT CI to Flowline 101  I400  Transmitter,INS,INST,U,04/16/2012,,,16:28:02,07/15/2012,BATCHMAN,,00:00:00,,,,00:00:00,,,UM,3,,30,NM01,,,,,,,5702,,,,,10000063,,,03/05/2012,FF_CECRIT_10,,03/06/2012,0.00,0.00,158.90,158.90,04/16/2012,11:29:52,0.00,158.90,158.90,03/12/2012,17:30:00,17:30:00,,03/12/2012,03/12/2012,15:30:00,15:30:00,15:30:00,,PPM,NM01,PP-PC1,,000000,CENT,CE5702G070,CE5702C008,,,,,,,,0.000,,,OR000081000298,"395,695.00",,,1,,,,P9056,4,Low,,,,,,3000160393,,,,,,,,,,N104,,0.00,,,,,,,,EUR,,,NM01,,,,10/24/2011,07/30/2012,03/12/2012,03/12/2012,WCOM,CLSD CNF  NMAT PRC  SETC,UM01,,03/12/2012
81000299,GROV-H-SAEE-RAFINF,Inflatable Raft,Liferaft  Q160  S30 Liferaft yearly test,PDN,OPS,U,06/23/2012,,,14:35:00,09/21/2012,BATCHMAN,,00:00:00,,,,00:00:00,,,UM,3,,30,NM01,,,,,,,5702,,,,,11000007,,,03/05/2012,FF_CECRIT_10,,03/06/2012,0.00,0.00,158.90,79.45,06/19/2012,17:37:42,0.00,158.90,79.45,03/12/2012,16:30:00,16:30:00,,03/12/2012,03/12/2012,15:30:00,15:30:00,15:30:00,,SFC,NM01,PP-PC1,,000000,CENT,CE5702G070,CE5702C008,,,,,,,,0.000,,,OR000081000299,"395,696.00",,,1,,,,P9056,3,Medium,,,,,,3000160394,,,,,,,,,,N104,,0.00,,,,,,,,EUR,,,NM01,,,,02/13/2012,04/09/2012,03/12/2012,03/12/2012,WCOM,CLSD CNF  NMAT PRC  SETC,UM01,,03/12/2012
81000300,GROV-H-SAEE-RAFINF,Inflatable Raft,Liferaft  Q160  S30 Liferaft yearly test,PDN,OPS,U,06/23/2012,,,14:36:15,09/21/2012,BATCHMAN,,00:00:00,,,,00:00:00,,,UM,3,,30,NM01,,,,,,,5702,,,,,11000008,,,03/05/2012,FF_CECRIT_10,,03/06/2012,0.00,0.00,158.90,79.45,06/19/2012,17:38:25,0.00,158.90,79.45,03/12/2012,16:30:00,16:30:00,,03/12/2012,03/12/2012,15:30:00,15:30:00,15:30:00,,SFC,NM01,PP-PC1,,000000,CENT,CE5702G070,CE5702C008,,,,,,,,0.000,,,OR000081000300,"395,697.00",,,1,,,,P9056,3,Medium,,,,,,3000160395,,,,,,,,,,N104,,0.00,,,,,,,,EUR,,,NM01,,,,02/13/2012,04/09/2012,03/12/2012,03/12/2012,WCOM,CLSD CNF  NMAT PRC  SETC,UM01,,03/12/2012
81000301,GROV-C-FGDT-ABHPOR,Portable Gas Detectors,Portable Gas Detector  Q100  Calibration,INS,GENCON,U,12/20/2013,,,06:43:49,10/20/2015,JGRIEP,,00:00:00,,,,00:00:00,,,UM,3,,30,NM01,,,,,,,5702,,,,,11000003,,,03/05/2012,FF_CECRIT_10,,03/06/2012,0.00,0.00,69.00,79.45,12/01/2013,02:54:54,0.00,69.00,79.45,03/12/2012,16:30:00,16:30:00,,03/12/2012,03/12/2012,15:30:00,15:30:00,15:30:00,,PPM,NM01,PP-PC1,,000000,CENT,CE5702G070,CE5702C008,,,,,,,,0.000,,,OR000081000301,"395,698.00",,,1,,,,P9056,3,Medium,,,,,,3000160396,,,,,,,,,,N104,,0.00,,,,,,,,EUR,,,NM01,12/04/2013,,,02/13/2012,04/09/2012,03/12/2012,03/12/2012,WCOM,CLSD CNF  NMAT PRC  SETC,UM01,,03/12/2012
81000302,GROV-C-FGDT-ABHPOR,Portable Gas Detectors,Portable Gas Detector  Q100  Calibration,INS,GENCON,U,12/20/2013,,,06:43:50,10/20/2015,JGRIEP,,00:00:00,,,,00:00:00,,,UM,3,,30,NM01,,,,,,,5702,,,,,11000005,,,03/05/2012,FF_CECRIT_10,,03/06/2012,0.00,0.00,69.00,79.45,12/01/2013,02:55:58,0.00,69.00,79.45,03/12/2012,16:30:00,16:30:00,,03/12/2012,03/12/2012,15:30:00,15:30:00,15:30:00,,PPM,NM01,PP-PC1,,000000,CENT,CE5702G070,CE5702C008,,,,,,,,0.000,,,OR000081000302,"395,699.00",,,1,,,,P9056,3,Medium,,,,,,3000160397,,,,,,,,,,N104,,0.00,,,,,,,,EUR,,,NM01,12/04/2013,,,02/13/2012,04/09/2012,03/12/2012,03/12/2012,WCOM,CLSD CNF  NMAT PRC  SETC,UM01,,03/12/2012
81000303,GROV-U-CHCI-IN2FLL-42FT201,FT Corrosion Inh. to Flow Line Well 201,FT CI to Flowline 201  I400  Transmitter,INS,INST,U,04/16/2012,,,16:28:09,07/15/2012,BATCHMAN,,00:00:00,,,,00:00:00,,,UM,3,,30,NM01,,,,,,,5702,,,,,10000062,,,03/05/2012,FF_CECRIT_10,,03/06/2012,0.00,0.00,158.90,158.90,04/16/2012,11:32:58,0.00,158.90,158.90,03/12/2012,17:30:00,17:30:00,,03/12/2012,03/12/2012,15:30:00,15:30:00,15:30:00,,PPM,NM01,PP-PC1,,000000,CENT,CE5702G070,CE5702C008,,,,,,,,0.000,,,OR000081000303,"395,700.00",,,1,,,,P9056,4,Low,,,,,,3000160398,,,,,,,,,,N104,,0.00,,,,,,,,EUR,,,NM01,,,,10/24/2011,07/30/2012,03/12/2012,03/12/2012,WCOM,CLSD CNF  NMAT PRC  SETC,UM01,,03/12/2012
81000304,GROV-U-CHCI-IN3FLL-42FT301,FT Corrosion Inh. to Flow Line Well 301,FT CI to Flowline 301  I400  Transmitter,INS,INST,U,04/16/2012,,,16:28:16,07/15/2012,BATCHMAN,,00:00:00,,,,00:00:00,,,UM,3,,30,NM01,,,,,,,5702,,,,,10000065,,,03/05/2012,FF_CECRIT_10,,03/06/2012,0.00,0.00,158.90,158.90,04/16/2012,11:33:30,0.00,158.90,158.90,03/12/2012,17:30:00,17:30:00,,03/12/2012,03/12/2012,15:30:00,15:30:00,15:30:00,,PPM,NM01,PP-PC1,,000000,CENT,CE5702G070,CE5702C008,,,,,,,,0.000,,,OR000081000304,"395,701.00",,,1,,,,P9056,4,Low,,,,,,3000160399,,,,,,,,,,N104,,0.00,,,,,,,,EUR,,,NM01,,,,10/24/2011,07/30/2012,03/12/2012,03/12/2012,WCOM,CLSD CNF  NMAT PRC  SETC,UM01,,03/12/2012
81000305,GROV-H-SAEE-DGEADD,"Decending Gear, Decending Donut",DONUT STATIONS (14x)  Q017  Donuts,PDN,CRANE,U,09/06/2013,,,14:43:32,12/05/2013,BATCHMAN,,00:00:00,,,,00:00:00,,,UM,3,,30,NM01,,,,,,,5702,,,,,10000019,,,03/05/2012,FF_CECRIT_10,,03/06/2012,0.00,0.00,0.00,158.90,,00:00:00,0.00,0.00,158.90,03/12/2012,17:30:00,17:30:00,,,03/12/2012,00:00:00,15:30:00,15:30:00,,SFC,NM01,PP-PC1,,000000,CENT,CE5702G070,CE5702C008,,,,,,,,0.000,,,OR000081000305,"395,702.00",,,1,,,,P9056,3,Medium,,,,,,3000160400,,,,,,,,,,N104,,0.00,,,,,,,,EUR,,,NM01,,,,02/13/2012,04/09/2012,03/12/2012,03/12/2012,WCOM,CLSD NMAT PRC  SETC,UM01,,03/12/2012
